image_id,image_filename,image_doi,cell_id,bethesda_system,nucleus_x,nucleus_y,image_path
242,36ec7e0332c9ab3aa1edb53fe8f6cba8.png,10.6084/m9.figshare.12230372,4157,LSIL,870,416,4157.png
70,5e5f9e511001c3ead65b7dc51897a1ba.png,10.6084/m9.figshare.12229736,8844,HSIL,1107,632,8844.png
111,e57d535d86c5898be4e897eaed05c8c6.png,10.6084/m9.figshare.12229901,7434,Negative for intraepithelial lesion,142,818,7434.png
319,31a989e43eb0a9645509eb60e068aefc.png,10.6084/m9.figshare.12230618,2502,Negative for intraepithelial lesion,1018,952,2502.png
89,4bdf1fe55c86e3fd82c022a744de5958.png,10.6084/m9.figshare.12229799,7908,HSIL,1269,813,7908.png
358,e0c93ad46ad5dac7832427c1eb191c9e.png,10.6084/m9.figshare.12230747,1554,Negative for intraepithelial lesion,764,732,1554.png
26,584d79af21c45131e9af9d54d2c2b8e4.png,10.6084/m9.figshare.12229601,10679,Negative for intraepithelial lesion,1066,154,10679.png
123,e9743b8e738f3f0bd2a084cbf8dc1cab.png,10.6084/m9.figshare.12229958,6974,Negative for intraepithelial lesion,848,889,6974.png
289,2cefdbf695da71852337ae3557ccdd38.png,10.6084/m9.figshare.12230528,3043,Negative for intraepithelial lesion,817,288,3043.png
45,e42d8978f7ff44cd74a646b97b1c2c1c.png,10.6084/m9.figshare.12229661,10059,Negative for intraepithelial lesion,1064,929,10059.png
192,5c7feaaf66d0981fe28378fbab186509.png,10.6084/m9.figshare.12230195,5166,Negative for intraepithelial lesion,62,415,5166.png
269,651555a374eacf3de392c98dbd85d44d.png,10.6084/m9.figshare.12230468,3521,ASC-US,233,421,3521.png
249,bd7e1530680d11547db567150fa7c403.png,10.6084/m9.figshare.12230396,3991,Negative for intraepithelial lesion,950,956,3991.png
8,1f8274db391ed2747c0c3a8560bf6d3a.png,10.6084/m9.figshare.12229541,11314,Negative for intraepithelial lesion,52,603,11314.png
25,f981c4aac622d7cce71a81305dd38ade.png,10.6084/m9.figshare.12229598,10804,Negative for intraepithelial lesion,1030,663,10804.png
130,a42845987c650d7243ad0c08e97debf5.png,10.6084/m9.figshare.12229985,6816,Negative for intraepithelial lesion,981,225,6816.png
260,9fc84cd39cefe6f1a7b54e92cd971210.png,10.6084/m9.figshare.12230438,3720,Negative for intraepithelial lesion,1232,43,3720.png
215,3b73689cbb3b2a04a1a713230459f7e5.png,10.6084/m9.figshare.12230270,4852,Negative for intraepithelial lesion,101,599,4852.png
87,aab4785d3320a7fd40e5ec45caf36b72.png,10.6084/m9.figshare.12229793,7975,Negative for intraepithelial lesion,268,563,7975.png
143,c01b36e0a384197ca9a2e6bcd2c552e1.png,10.6084/m9.figshare.12230039,6233,Negative for intraepithelial lesion,1038,94,6233.png
249,bd7e1530680d11547db567150fa7c403.png,10.6084/m9.figshare.12230396,3982,Negative for intraepithelial lesion,932,68,3982.png
39,dd569f426f91cc5d6a20804c800d6eb3.png,10.6084/m9.figshare.12229643,10190,ASC-US,993,34,10190.png
249,bd7e1530680d11547db567150fa7c403.png,10.6084/m9.figshare.12230396,3996,Negative for intraepithelial lesion,673,698,3996.png
220,5b3e7408f7ab2a8bce36cfda5a1e121b.png,10.6084/m9.figshare.12230288,4781,Negative for intraepithelial lesion,1238,135,4781.png
252,da51093be0db6b3ccd477a6aeddc2261.png,10.6084/m9.figshare.12230411,3866,Negative for intraepithelial lesion,170,134,3866.png
34,b6bf215df9cc83413a7c5a61c64361da.png,10.6084/m9.figshare.12229625,10366,ASC-US,766,671,10366.png
152,3ae2fc6e5e6530f3291e21a8937c71b3.png,10.6084/m9.figshare.12230066,5919,Negative for intraepithelial lesion,764,599,5919.png
309,d72288404d45ed33074fcfb77d099f2f.png,10.6084/m9.figshare.12230588,2717,LSIL,759,420,2717.png
18,3659bf68aeea760b319cd0710e3651fb.png,10.6084/m9.figshare.12229577,11025,Negative for intraepithelial lesion,190,671,11025.png
148,ec14a8dad00ce2aa24bae8dd2683077b.png,10.6084/m9.figshare.12230054,6055,Negative for intraepithelial lesion,670,942,6055.png
263,5901e3526774e5847970bb8203c7c711.png,10.6084/m9.figshare.12230447,3670,Negative for intraepithelial lesion,582,532,3670.png
236,221e5472253d8a712be2eb84079a6a72.png,10.6084/m9.figshare.12230354,4334,Negative for intraepithelial lesion,629,548,4334.png
132,763240077e66777b2a196a6af78c9716.png,10.6084/m9.figshare.12229994,6699,Negative for intraepithelial lesion,688,449,6699.png
393,363b6b00d925e5c52694b8f7b678c53b.png,10.6084/m9.figshare.12230885,534,Negative for intraepithelial lesion,854,751,534.png
235,38b630ac8a1f02f6a466824f6babaf0e.png,10.6084/m9.figshare.12230348,4376,Negative for intraepithelial lesion,812,761,4376.png
222,ed10d2a300c0f99915a467afc514c5cf.png,10.6084/m9.figshare.12230297,4706,ASC-US,498,598,4706.png
304,c5304cb4ceea0d7c9c64e26b6b3e804e.png,10.6084/m9.figshare.12230573,2822,Negative for intraepithelial lesion,325,642,2822.png
72,424a7ee29385c53e950de973f411a30c.png,10.6084/m9.figshare.12229742,8625,HSIL,1136,54,8625.png
312,e195831951b7e556d3ca5f497ad4bc9c.png,10.6084/m9.figshare.12230597,2590,Negative for intraepithelial lesion,819,817,2590.png
131,7d9c47264d5ffa28fdb561d0be14bb90.png,10.6084/m9.figshare.12229988,6659,Negative for intraepithelial lesion,1036,765,6659.png
125,c642b1c083b38d9b56724bc76867459e.png,10.6084/m9.figshare.12229967,6954,Negative for intraepithelial lesion,1189,565,6954.png
96,c9b3f954a9d1e35591818b6c493facb9.png,10.6084/m9.figshare.12229844,7714,ASC-US,56,622,7714.png
236,221e5472253d8a712be2eb84079a6a72.png,10.6084/m9.figshare.12230354,4298,Negative for intraepithelial lesion,899,247,4298.png
23,77acea6065f24cef2351ef3bc2af43a1.png,10.6084/m9.figshare.12229592,10920,Negative for intraepithelial lesion,555,968,10920.png
56,e5ea9cccfefaf9d788e1447821752285.png,10.6084/m9.figshare.12229694,9609,Negative for intraepithelial lesion,85,715,9609.png
267,f7b28bd33b541782b308e1a3ef84995a.png,10.6084/m9.figshare.12230462,3574,Negative for intraepithelial lesion,1222,718,3574.png
31,88e5e1814b1a2c4d30e28f8b98ba157c.png,10.6084/m9.figshare.12229616,10441,Negative for intraepithelial lesion,1238,553,10441.png
260,9fc84cd39cefe6f1a7b54e92cd971210.png,10.6084/m9.figshare.12230438,3727,Negative for intraepithelial lesion,94,270,3727.png
344,dbb1bf3a7bced124e9f9012a950eb06b.png,10.6084/m9.figshare.12230702,1846,LSIL,482,483,1846.png
120,79bd0d0b44949450452bd745fd795a9a.png,10.6084/m9.figshare.12229937,7120,Negative for intraepithelial lesion,240,490,7120.png
252,da51093be0db6b3ccd477a6aeddc2261.png,10.6084/m9.figshare.12230411,3888,LSIL,269,447,3888.png
29,92f442dda43d7250c63ba2823c96be42.png,10.6084/m9.figshare.12229610,10601,Negative for intraepithelial lesion,33,434,10601.png
70,5e5f9e511001c3ead65b7dc51897a1ba.png,10.6084/m9.figshare.12229736,8804,HSIL,804,152,8804.png
250,539a88e6ce009eee5398bdbada60ff23.png,10.6084/m9.figshare.12230402,3970,LSIL,952,508,3970.png
353,151e9e19a4a8a347e2eeb00ad52a210f.png,10.6084/m9.figshare.12230732,1631,LSIL,677,203,1631.png
135,8d62bc0267b58954ef9fa8e355d6ec22.png,10.6084/m9.figshare.12230006,6561,Negative for intraepithelial lesion,662,219,6561.png
231,dd245e5ad1da4d1d4b86786d2470d145.png,10.6084/m9.figshare.12230333,4483,Negative for intraepithelial lesion,80,227,4483.png
119,ba49ee2fe18405a74c4daaef256365cc.png,10.6084/m9.figshare.12229934,7110,Negative for intraepithelial lesion,384,889,7110.png
224,f996f3195bdb1c5ed08d97272ae16e62.png,10.6084/m9.figshare.12230309,4687,Negative for intraepithelial lesion,618,534,4687.png
125,c642b1c083b38d9b56724bc76867459e.png,10.6084/m9.figshare.12229967,6903,Negative for intraepithelial lesion,303,262,6903.png
257,3b536324e212ad03ae37afcf97d0c760.png,10.6084/m9.figshare.12230426,3781,Negative for intraepithelial lesion,920,722,3781.png
284,a57e3c97ad51375f4656963d6bd88f8d.png,10.6084/m9.figshare.12230513,3140,Negative for intraepithelial lesion,697,397,3140.png
176,5613e617f960b8414dbec5aa38647f96.png,10.6084/m9.figshare.12230144,5430,LSIL,238,132,5430.png
28,c5a3e789e449a8123509be5fd671b6b2.png,10.6084/m9.figshare.12229607,10649,Negative for intraepithelial lesion,587,61,10649.png
13,ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,10.6084/m9.figshare.12229559,11204,Negative for intraepithelial lesion,1136,379,11204.png
5,5b7cc4b7d0373fab44cc5686ba477e0c.png,10.6084/m9.figshare.12229529,11417,Negative for intraepithelial lesion,304,176,11417.png
138,c0d57801655afd0ab48ad3f1e4b43603.png,10.6084/m9.figshare.12230015,6414,Negative for intraepithelial lesion,891,922,6414.png
301,272c49a7303c02c8c000fe0bc3a6dbbe.png,10.6084/m9.figshare.12230564,2873,Negative for intraepithelial lesion,632,509,2873.png
187,8f4f6c8c7589b41794bb248571026f1f.png,10.6084/m9.figshare.12230180,5295,Negative for intraepithelial lesion,330,894,5295.png
310,f4062608fdab5e483be224b0b807bfbb.png,10.6084/m9.figshare.12230591,2670,Negative for intraepithelial lesion,734,163,2670.png
121,84c4b1e0a44ff6f6ce78e04f751518ed.png,10.6084/m9.figshare.12229949,7053,Negative for intraepithelial lesion,943,768,7053.png
236,221e5472253d8a712be2eb84079a6a72.png,10.6084/m9.figshare.12230354,4302,Negative for intraepithelial lesion,632,359,4302.png
138,c0d57801655afd0ab48ad3f1e4b43603.png,10.6084/m9.figshare.12230015,6419,Negative for intraepithelial lesion,550,23,6419.png
85,6bb20c67c4013e8805d0f64315b9bcb1.png,10.6084/m9.figshare.12229787,8109,LSIL,1216,120,8109.png
152,3ae2fc6e5e6530f3291e21a8937c71b3.png,10.6084/m9.figshare.12230066,5916,Negative for intraepithelial lesion,536,471,5916.png
41,33708abb81e40ff45d1510c44546e82f.png,10.6084/m9.figshare.12229649,10175,Negative for intraepithelial lesion,561,575,10175.png
304,c5304cb4ceea0d7c9c64e26b6b3e804e.png,10.6084/m9.figshare.12230573,2815,Negative for intraepithelial lesion,279,428,2815.png
86,de81ced6d8b99536da382f09b4290d70.png,10.6084/m9.figshare.12229790,7990,HSIL,197,615,7990.png
4,4fb1ebbd1adb2da024ffe2394c1712c9.png,10.6084/m9.figshare.12229526,11450,LSIL,186,386,11450.png
124,d87688d665139adb1d9dec9f902fa4a9.png,10.6084/m9.figshare.12229961,7020,Negative for intraepithelial lesion,410,1005,7020.png
224,f996f3195bdb1c5ed08d97272ae16e62.png,10.6084/m9.figshare.12230309,4678,Negative for intraepithelial lesion,583,312,4678.png
250,539a88e6ce009eee5398bdbada60ff23.png,10.6084/m9.figshare.12230402,3942,Negative for intraepithelial lesion,412,287,3942.png
13,ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,10.6084/m9.figshare.12229559,11205,Negative for intraepithelial lesion,1146,346,11205.png
193,c0dad84e596a1fd11720827eda489983.png,10.6084/m9.figshare.12230198,5140,LSIL,334,433,5140.png
248,a5ce47f6a10f543bf7fdac28b709d30d.png,10.6084/m9.figshare.12230393,4048,Negative for intraepithelial lesion,1128,858,4048.png
120,79bd0d0b44949450452bd745fd795a9a.png,10.6084/m9.figshare.12229937,7125,Negative for intraepithelial lesion,563,775,7125.png
72,424a7ee29385c53e950de973f411a30c.png,10.6084/m9.figshare.12229742,8656,Negative for intraepithelial lesion,526,884,8656.png
28,c5a3e789e449a8123509be5fd671b6b2.png,10.6084/m9.figshare.12229607,10619,Negative for intraepithelial lesion,232,388,10619.png
26,584d79af21c45131e9af9d54d2c2b8e4.png,10.6084/m9.figshare.12229601,10670,Negative for intraepithelial lesion,658,270,10670.png
26,584d79af21c45131e9af9d54d2c2b8e4.png,10.6084/m9.figshare.12229601,10698,Negative for intraepithelial lesion,224,944,10698.png
144,b8491225e9d46d5f48c33c310b7d2755.png,10.6084/m9.figshare.12230042,6183,Negative for intraepithelial lesion,905,382,6183.png
82,dd61f345bc7cdcbf3bb86d58eb0992b4.png,10.6084/m9.figshare.12229778,8176,Negative for intraepithelial lesion,530,402,8176.png
370,b73f6ce80af2295f03792c3c2bdc338b.png,10.6084/m9.figshare.12230789,1247,Negative for intraepithelial lesion,535,916,1247.png
190,e6b13ffc7b9ba7170133da814ce6aa51.png,10.6084/m9.figshare.12230189,5219,ASC-US,1264,378,5219.png
147,7cadcc842e5559cd14a3cd1143dd8db0.png,10.6084/m9.figshare.12230051,6087,Negative for intraepithelial lesion,119,263,6087.png
310,f4062608fdab5e483be224b0b807bfbb.png,10.6084/m9.figshare.12230591,2706,Negative for intraepithelial lesion,1164,724,2706.png
21,faf0a263bf469832c7569a5ccbaa48c3.png,10.6084/m9.figshare.12229586,10942,Negative for intraepithelial lesion,478,210,10942.png
19,8457af003b1ad48e907156b5e6e53bea.png,10.6084/m9.figshare.12229580,10961,Negative for intraepithelial lesion,964,723,10961.png
236,221e5472253d8a712be2eb84079a6a72.png,10.6084/m9.figshare.12230354,4315,Negative for intraepithelial lesion,372,493,4315.png
216,011fda505d7e4af4b8cc57545343624d.png,10.6084/m9.figshare.12230273,4843,ASC-US,584,535,4843.png
358,e0c93ad46ad5dac7832427c1eb191c9e.png,10.6084/m9.figshare.12230747,1549,LSIL,678,510,1549.png
85,6bb20c67c4013e8805d0f64315b9bcb1.png,10.6084/m9.figshare.12229787,8063,HSIL,620,759,8063.png
97,299abd9ed2593fa2a0bcd9ba0c73a576.png,10.6084/m9.figshare.12229847,7678,Negative for intraepithelial lesion,1256,194,7678.png
235,38b630ac8a1f02f6a466824f6babaf0e.png,10.6084/m9.figshare.12230348,4378,Negative for intraepithelial lesion,632,926,4378.png
278,b5236e7b9f5dc7783cce4dbb5fb1a082.png,10.6084/m9.figshare.12230495,3270,Negative for intraepithelial lesion,962,615,3270.png
2,9d0f43b29d78f673e9caf77928b4af3c.png,10.6084/m9.figshare.12229520,11488,ASC-US,671,244,11488.png
70,5e5f9e511001c3ead65b7dc51897a1ba.png,10.6084/m9.figshare.12229736,8863,HSIL,586,854,8863.png
248,a5ce47f6a10f543bf7fdac28b709d30d.png,10.6084/m9.figshare.12230393,4052,LSIL,934,871,4052.png
189,03f5d5ec88161b9365bea549d7ce92cd.png,10.6084/m9.figshare.12230186,5274,LSIL,262,230,5274.png
140,ae9ad0a0e62cb046468591ce92237bfc.png,10.6084/m9.figshare.12230027,6342,Negative for intraepithelial lesion,1087,397,6342.png
92,66ac6258c1215e76435accb18ec68f08.png,10.6084/m9.figshare.12229811,7824,HSIL,349,877,7824.png
111,e57d535d86c5898be4e897eaed05c8c6.png,10.6084/m9.figshare.12229901,7440,Negative for intraepithelial lesion,19,286,7440.png
56,e5ea9cccfefaf9d788e1447821752285.png,10.6084/m9.figshare.12229694,9612,Negative for intraepithelial lesion,1130,839,9612.png
82,dd61f345bc7cdcbf3bb86d58eb0992b4.png,10.6084/m9.figshare.12229778,8177,Negative for intraepithelial lesion,431,290,8177.png
13,ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,10.6084/m9.figshare.12229559,11177,Negative for intraepithelial lesion,875,577,11177.png
22,d67cd01defdc182ca48cee14e776f22c.png,10.6084/m9.figshare.12229589,10834,Negative for intraepithelial lesion,432,188,10834.png
304,c5304cb4ceea0d7c9c64e26b6b3e804e.png,10.6084/m9.figshare.12230573,2810,Negative for intraepithelial lesion,154,481,2810.png
41,33708abb81e40ff45d1510c44546e82f.png,10.6084/m9.figshare.12229649,10182,Negative for intraepithelial lesion,1084,316,10182.png
5,5b7cc4b7d0373fab44cc5686ba477e0c.png,10.6084/m9.figshare.12229529,11425,Negative for intraepithelial lesion,172,770,11425.png
140,ae9ad0a0e62cb046468591ce92237bfc.png,10.6084/m9.figshare.12230027,6363,Negative for intraepithelial lesion,664,708,6363.png
256,8932ac9bf855b72eef7390e7e486133e.png,10.6084/m9.figshare.12230423,3788,Negative for intraepithelial lesion,255,549,3788.png
13,ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,10.6084/m9.figshare.12229559,11195,Negative for intraepithelial lesion,1047,953,11195.png
125,c642b1c083b38d9b56724bc76867459e.png,10.6084/m9.figshare.12229967,6937,Negative for intraepithelial lesion,460,938,6937.png
193,c0dad84e596a1fd11720827eda489983.png,10.6084/m9.figshare.12230198,5152,Negative for intraepithelial lesion,1009,554,5152.png
85,6bb20c67c4013e8805d0f64315b9bcb1.png,10.6084/m9.figshare.12229787,8116,ASC-H,10,377,8116.png
125,c642b1c083b38d9b56724bc76867459e.png,10.6084/m9.figshare.12229967,6906,Negative for intraepithelial lesion,407,155,6906.png
82,dd61f345bc7cdcbf3bb86d58eb0992b4.png,10.6084/m9.figshare.12229778,8178,Negative for intraepithelial lesion,824,411,8178.png
19,8457af003b1ad48e907156b5e6e53bea.png,10.6084/m9.figshare.12229580,10979,Negative for intraepithelial lesion,87,1014,10979.png
239,f5cad8f1a038b616cb2ce4ca46183262.png,10.6084/m9.figshare.12230363,4259,Negative for intraepithelial lesion,1198,690,4259.png
8,1f8274db391ed2747c0c3a8560bf6d3a.png,10.6084/m9.figshare.12229541,11344,Negative for intraepithelial lesion,727,1013,11344.png
364,92eb1f2563016d967eb885ee1a5fd2dd.png,10.6084/m9.figshare.12230771,1321,ASC-US,675,515,1321.png
25,f981c4aac622d7cce71a81305dd38ade.png,10.6084/m9.figshare.12229598,10794,Negative for intraepithelial lesion,1116,258,10794.png
38,466a61aa31579a2ffb3c561f5a5d37d0.png,10.6084/m9.figshare.12229640,10287,Negative for intraepithelial lesion,597,116,10287.png
206,a9a16f442db25098459cc72d4e816c2d.png,10.6084/m9.figshare.12230243,4994,Negative for intraepithelial lesion,498,670,4994.png
162,5633910bdb41ea5626f7b60a8ef80af0.png,10.6084/m9.figshare.12230096,5665,Negative for intraepithelial lesion,912,573,5665.png
107,2fcce94875a4487c35970f75ad569640.png,10.6084/m9.figshare.12229889,7501,Negative for intraepithelial lesion,314,179,7501.png
85,6bb20c67c4013e8805d0f64315b9bcb1.png,10.6084/m9.figshare.12229787,8092,HSIL,1160,725,8092.png
242,36ec7e0332c9ab3aa1edb53fe8f6cba8.png,10.6084/m9.figshare.12230372,4195,Negative for intraepithelial lesion,392,804,4195.png
26,584d79af21c45131e9af9d54d2c2b8e4.png,10.6084/m9.figshare.12229601,10717,Negative for intraepithelial lesion,897,518,10717.png
144,b8491225e9d46d5f48c33c310b7d2755.png,10.6084/m9.figshare.12230042,6164,Negative for intraepithelial lesion,10,76,6164.png
224,f996f3195bdb1c5ed08d97272ae16e62.png,10.6084/m9.figshare.12230309,4693,Negative for intraepithelial lesion,334,16,4693.png
294,4f8e654e9c41b941ef6ced7a6b833917.png,10.6084/m9.figshare.12230543,2945,Negative for intraepithelial lesion,455,705,2945.png
186,09ddefdfc9ca8df4da326825425336d3.png,10.6084/m9.figshare.12230177,5278,Negative for intraepithelial lesion,720,826,5278.png
7,df075c7d02cc7729bd04b5996a3e8991.png,10.6084/m9.figshare.12229538,11406,Negative for intraepithelial lesion,472,336,11406.png
220,5b3e7408f7ab2a8bce36cfda5a1e121b.png,10.6084/m9.figshare.12230288,4774,Negative for intraepithelial lesion,834,612,4774.png
257,3b536324e212ad03ae37afcf97d0c760.png,10.6084/m9.figshare.12230426,3784,LSIL,898,687,3784.png
45,e42d8978f7ff44cd74a646b97b1c2c1c.png,10.6084/m9.figshare.12229661,10056,Negative for intraepithelial lesion,917,931,10056.png
274,a3cd8fc514a7a507198e186b5c58f9d2.png,10.6084/m9.figshare.12230483,3433,Negative for intraepithelial lesion,1078,620,3433.png
252,da51093be0db6b3ccd477a6aeddc2261.png,10.6084/m9.figshare.12230411,3881,Negative for intraepithelial lesion,132,661,3881.png
242,36ec7e0332c9ab3aa1edb53fe8f6cba8.png,10.6084/m9.figshare.12230372,4168,Negative for intraepithelial lesion,712,249,4168.png
306,8c21e0dc6b8fbeddfd6f9923b4b1054c.png,10.6084/m9.figshare.12230579,2783,Negative for intraepithelial lesion,239,610,2783.png
31,88e5e1814b1a2c4d30e28f8b98ba157c.png,10.6084/m9.figshare.12229616,10506,Negative for intraepithelial lesion,761,280,10506.png
274,a3cd8fc514a7a507198e186b5c58f9d2.png,10.6084/m9.figshare.12230483,3434,Negative for intraepithelial lesion,1029,504,3434.png
42,45c237e071148a104c2770fbca5e67a8.png,10.6084/m9.figshare.12229652,10143,LSIL,859,848,10143.png
22,d67cd01defdc182ca48cee14e776f22c.png,10.6084/m9.figshare.12229589,10859,Negative for intraepithelial lesion,835,966,10859.png
38,466a61aa31579a2ffb3c561f5a5d37d0.png,10.6084/m9.figshare.12229640,10293,Negative for intraepithelial lesion,1082,196,10293.png
240,9dc92f731aa43451aaccdaabbca220fa.png,10.6084/m9.figshare.12230366,4224,Negative for intraepithelial lesion,587,383,4224.png
267,f7b28bd33b541782b308e1a3ef84995a.png,10.6084/m9.figshare.12230462,3575,Negative for intraepithelial lesion,1208,681,3575.png
140,ae9ad0a0e62cb046468591ce92237bfc.png,10.6084/m9.figshare.12230027,6339,Negative for intraepithelial lesion,934,95,6339.png
257,3b536324e212ad03ae37afcf97d0c760.png,10.6084/m9.figshare.12230426,3776,Negative for intraepithelial lesion,695,395,3776.png
5,5b7cc4b7d0373fab44cc5686ba477e0c.png,10.6084/m9.figshare.12229529,11441,Negative for intraepithelial lesion,356,755,11441.png
